name,category,sub_category,brand,price_bdt,processor,generation,ram_gb,storage,gpu,gpu_memory,display_inch,battery_mah,camera_mp,url,shop,popularity
Google Pixel 10 Pro Fold,smartphone,flagship_phone,Google,229990,Tensor G5,,16,512/1TB,,,7.9,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Google Pixel 10 Pro XL,smartphone,flagship_phone,Google,122990,Tensor G5,,16,256/512,,,6.8,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme P4,smartphone,smartphone,Realme,28990,Dimensity 7300,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme P4 Pro,smartphone,smartphone,Realme,42990,Dimensity 8300,,12,512,,,6.78,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Infinix Hot 60i 5G,smartphone,smartphone,Infinix,19990,Dimensity 6300,,6,128,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo A3x 5G,smartphone,smartphone,Oppo,17590,Dimensity 6300,,6,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Xiaomi Poco M7,smartphone,smartphone,Xiaomi,21990,Dimensity 7025,,8,256,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Xiaomi Poco M7 Plus,smartphone,smartphone,Xiaomi,23990,Dimensity 7300,,8,256,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo V60,smartphone,smartphone,Vivo,46999,Dimensity 8300,,12,256/512,,,6.78,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo V50 Lite 5G,smartphone,smartphone,Vivo,29490,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo V50 Lite,smartphone,smartphone,Vivo,27490,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo X200 FE,smartphone,flagship_phone,Vivo,69899,Dimensity 9400,,12,256/512,,,6.7,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo X Fold5,smartphone,flagship_phone,Vivo,124990,Dimensity 9400,,16,512/1TB,,,8.03,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo Reno14 F,smartphone,smartphone,Oppo,44990,Dimensity 7300,,12,256/512,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo K13x,smartphone,smartphone,Oppo,17990,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Tecno Pova 7 Ultra,smartphone,smartphone,Tecno,32990,Dimensity 7300,,12,256,,,6.78,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Tecno Pova 7,smartphone,smartphone,Tecno,23990,Dimensity 7025,,8,256,,,6.78,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Tecno Spark Go 2,smartphone,smartphone,Tecno,14990,Helio G85,,4,128,,,6.6,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo T4 Lite,smartphone,smartphone,Vivo,18990,Dimensity 6300,,6,128,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Xiaomi Poco F7,smartphone,smartphone,Xiaomi,45977,Dimensity 8300,,12,512,,,6.78,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo Y400 Pro,smartphone,smartphone,Vivo,37999,Dimensity 7300,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Infinix Smart 10 HD,smartphone,smartphone,Infinix,11990,Unisoc,,4,64/128,,,6.6,5000,13,https://dazzle.com.bd/categories/phones,Dazzle,0
Infinix Smart 10 Plus,smartphone,smartphone,Infinix,13490,Helio G85,,4,128,,,6.6,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Infinix Smart 10,smartphone,smartphone,Infinix,12490,Helio G85,,4,128,,,6.6,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme Narzo 80 Lite,smartphone,smartphone,Realme,14990,Dimensity 6300,,6,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo T4 Ultra,smartphone,smartphone,Vivo,62990,Dimensity 9400,,12,512,,,6.78,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Samsung Galaxy Z Flip 7 FE,smartphone,smartphone,Samsung,73990,Snapdragon 8 Gen 3,,12,256/512,,,6.7,4000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo A3x,smartphone,smartphone,Oppo,13190,Helio G85,,4,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo A3 5G,smartphone,smartphone,Oppo,19890,Dimensity 6300,,6,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo A3,smartphone,smartphone,Oppo,14990,Helio G85,,4,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Infinix Hot 60 Pro,smartphone,smartphone,Infinix,22990,Dimensity 7025,,8,256,,,6.78,5000,108,https://dazzle.com.bd/categories/phones,Dazzle,0
Infinix Hot 60 Pro Plus,smartphone,smartphone,Infinix,24990,Dimensity 7300,,8,256,,,6.78,5000,108,https://dazzle.com.bd/categories/phones,Dazzle,0
Infinix Hot 60,smartphone,smartphone,Infinix,17990,Dimensity 7025,,6,128,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Samsung Galaxy Z Fold 7,smartphone,smartphone,Samsung,176990,Snapdragon 8 Gen 3,,16,512/1TB,,,7.6,4400,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Samsung Galaxy Z Flip 7,smartphone,smartphone,Samsung,99990,Snapdragon 8 Gen 3,,12,256/512,,,6.7,4000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo Y19s Pro,smartphone,smartphone,Vivo,16999,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Tecno Spark 40 Pro Plus,smartphone,smartphone,Tecno,28990,Dimensity 7025,,8,256,,,6.78,5000,108,https://dazzle.com.bd/categories/phones,Dazzle,0
Tecno Spark 40 Pro,smartphone,smartphone,Tecno,18990,Helio G100,,8,256,,,6.78,5000,108,https://dazzle.com.bd/categories/phones,Dazzle,0
Tecno Pova 7 Pro,smartphone,smartphone,Tecno,29990,Dimensity 7300,,8,256,,,6.78,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Tecno Pova 7 5G,smartphone,smartphone,Tecno,24990,Dimensity 7025,,8,256,,,6.78,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Tecno Spark 40,smartphone,smartphone,Tecno,17990,Helio G85,,6,128,,,6.78,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Xiaomi Poco M5,smartphone,smartphone,Xiaomi,12992,Helio G85,,6,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Samsung Galaxy A17 5G,smartphone,smartphone,Samsung,23490,Exynos 1380,,6,128/256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,4
iQOO Z10 Turbo Plus,smartphone,smartphone,iQOO,44990,Dimensity 8300,,12,512,,,6.78,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,4
iQOO Z10R,smartphone,smartphone,iQOO,26490,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo Find X9 Pro,smartphone,flagship_phone,Oppo,99989,Dimensity 9400,,16,512/1TB,,,6.78,5800,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G85 5G,smartphone,smartphone,Motorola,23990,Snapdragon 6s Gen 3,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,3
Motorola Moto G45 5G,smartphone,smartphone,Motorola,15990,Dimensity 6300,,6,128,,,6.5,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,2
Samsung Galaxy A17,smartphone,smartphone,Samsung,22490,Exynos 1380,,6,128,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,4
Samsung Galaxy A57 5G,smartphone,smartphone,Samsung,59790,Exynos 1580,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,4
Samsung M07,smartphone,smartphone,Samsung,13690,Exynos 850,,4,128,,,6.6,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,4
iPhone 17e,smartphone,flagship_phone,Apple,77990,A19,,8,128/256,,,6.1,3500,0,https://dazzle.com.bd/categories/phones,Dazzle,0
vivo X300 Pro,smartphone,flagship_phone,Vivo,95489,Dimensity 9400,,16,512/1TB,,,6.78,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo X300,smartphone,flagship_phone,Vivo,78989,Dimensity 9400,,12,256/512,,,6.78,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo Find X9,smartphone,flagship_phone,Oppo,79989,Dimensity 9400,,12,256/512,,,6.78,5700,50,https://dazzle.com.bd/categories/phones,Dazzle,0
vivo iQOO 15,smartphone,smartphone,iQOO,76989,Snapdragon 8 Elite,,16,512,,,6.78,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
vivo iQOO Neo11,smartphone,smartphone,iQOO,55989,Dimensity 8300,,12,256/512,,,6.78,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Samsung Galaxy S26 Ultra 5G,smartphone,flagship_phone,Samsung,130990,Snapdragon 8 Gen 5,,16,512/1TB,,,6.8,5000,200,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo T4 Pro,smartphone,smartphone,Vivo,43990,Dimensity 8300,,12,512,,,6.78,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
ZTE nubia RedMagic 10 Air,smartphone,gaming_phone,ZTE,61490,Snapdragon 8 Gen 3,,12,256,,,6.8,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Xiaomi Poco C85,smartphone,smartphone,Xiaomi,16990,Helio G85,,6,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo Y500,smartphone,smartphone,Vivo,28990,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
ZTE nubia RedMagic 10 Pro,smartphone,gaming_phone,ZTE,120990,Snapdragon 8 Elite,,16,512,,,6.85,6500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
ZTE nubia RedMagic 10S Pro,smartphone,gaming_phone,ZTE,115990,Snapdragon 8 Elite,,16,512,,,6.85,6500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme 15T,smartphone,smartphone,Realme,35990,Dimensity 7300,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo A6 Max,smartphone,smartphone,Oppo,34990,Dimensity 7300,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G06,smartphone,smartphone,Motorola,23990,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G06 Power,smartphone,smartphone,Motorola,15190,Dimensity 6300,,6,128,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Edge 60 Neo,smartphone,smartphone,Motorola,63990,Dimensity 8300,,12,256/512,,,6.7,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G64 5G,smartphone,smartphone,Motorola,18490,Dimensity 7025,,8,128/256,,,6.5,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Xiaomi Poco C55,smartphone,smartphone,Xiaomi,10490,Helio G85,,4,64/128,,,6.5,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G Stylus 5G (2026),smartphone,smartphone,Motorola,74990,Dimensity 7300,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme C85 Official,smartphone,smartphone,Realme,20999,Helio G85,,6,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
vivo iQOO Z11x,smartphone,smartphone,iQOO,26990,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Edge 70 Fusion,smartphone,smartphone,Motorola,36690,Dimensity 7300,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
vivo Y05,smartphone,smartphone,Vivo,13990,Helio G85,,4,128,,,6.5,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Samsung A07 official,smartphone,smartphone,Samsung,14990,Exynos 850,,4,128,,,6.6,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Samsung Galaxy F70e,smartphone,smartphone,Samsung,24990,Exynos 1380,,6,128/256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
ZTE nubia Z80 Ultra,smartphone,gaming_phone,ZTE,101990,Snapdragon 8 Gen 3,,16,512,,,6.8,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme 15 Lite,smartphone,smartphone,Realme,24990,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme P4 Power,smartphone,smartphone,Realme,35990,Dimensity 7300,,8,256,,,6.7,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme 16,smartphone,smartphone,Realme,49990,Dimensity 8300,,12,512,,,6.78,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Edge 70,smartphone,smartphone,Motorola,42190,Dimensity 7300,,12,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G17,smartphone,smartphone,Motorola,24990,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme GT8 Pro,smartphone,smartphone,Realme,69990,Dimensity 9400,,16,512/1TB,,,6.78,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme GT8,smartphone,smartphone,Realme,57990,Dimensity 8300,,12,256/512,,,6.78,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme C85,smartphone,smartphone,Realme,33990,Dimensity 7025,,8,256,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme C85 Pro,smartphone,smartphone,Realme,19990,Dimensity 6300,,6,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
vivo Y19s 5G,smartphone,smartphone,Vivo,13990,Dimensity 6300,,6,128,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G57 Power,smartphone,smartphone,Motorola,21988,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G17 Power,smartphone,smartphone,Motorola,29990,Dimensity 7025,,8,256,,,6.7,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G67,smartphone,smartphone,Motorola,34990,Dimensity 7300,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G67 Power,smartphone,smartphone,Motorola,23499,Dimensity 7025,,8,256,,,6.7,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G57,smartphone,smartphone,Motorola,22550,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G77,smartphone,smartphone,Motorola,44990,Dimensity 7300,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme Note 70 Official,smartphone,smartphone,Realme,13999,Dimensity 6300,,6,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme C85 Pro Official,smartphone,smartphone,Realme,22999,Dimensity 6300,,6,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
vivo X200T,smartphone,flagship_phone,Vivo,79990,Dimensity 9400,,12,256/512,,,6.78,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo Reno15,smartphone,smartphone,Oppo,52990,Dimensity 8300,,12,256/512,,,6.78,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
vivo Y500i,smartphone,smartphone,Vivo,27990,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo Reno15 F,smartphone,smartphone,Oppo,50990,Dimensity 8300,,12,256,,,6.78,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
vivo iQOO Z11 Turbo,smartphone,smartphone,iQOO,52490,Dimensity 8300,,12,256/512,,,6.78,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo Reno15 Pro Mini,smartphone,smartphone,Oppo,65990,Dimensity 8300,,12,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Samsung Galaxy Z TriFold,smartphone,smartphone,Samsung,494990,Snapdragon 8 Gen 5,,16,1TB,,,10.2,6000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo Reno15 FS,smartphone,smartphone,Oppo,65990,Dimensity 8300,,12,256,,,6.78,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Samsung Galaxy S26 5G,smartphone,flagship_phone,Samsung,102990,Snapdragon 8 Gen 5,,12,256/512,,,6.7,4600,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G100 Pro,smartphone,smartphone,Motorola,25990,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Motorola Moto G100S,smartphone,smartphone,Motorola,21988,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme Narzo 90X,smartphone,smartphone,Realme,18990,Dimensity 7025,,8,256,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Samsung Galaxy F17,smartphone,smartphone,Samsung,22499,Exynos 1380,,6,128,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo F31 Pro,smartphone,smartphone,Oppo,34990,Dimensity 7300,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo F31 Pro Plus,smartphone,smartphone,Oppo,42490,Dimensity 8300,,12,512,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo Y21d,smartphone,smartphone,Vivo,18490,Helio G85,,6,128,,,6.5,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme P3 Lite,smartphone,smartphone,Realme,19990,Dimensity 6300,,6,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo A6i,smartphone,smartphone,Oppo,17990,Dimensity 7025,,6,128,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Google Pixel 6 Pro,smartphone,smartphone,Google,36990,Tensor G1,,12,128/256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Acer ALG Gaming-AL15G-53,laptop,laptop,Acer,110000,Core i5,13th (Intel),16,1TB SSD,Nvidia RTX 3050 Graphics,6GB,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire 15 AS15-42,laptop,laptop,Acer,56500,Ryzen 3,Ryzen,8,512GB SSD,AMD Radeon Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire 15 AS15-42,laptop,laptop,Acer,66000,Ryzen 5,Ryzen,8,512GB SSD,AMD Radeon Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire 3 A324-31,laptop,laptop,Acer,46000,Core N100,12th Standard (Intel),8,512GB SSD,Intel UHD Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire 3 A325-45,laptop,laptop,Acer,37900,Intel Celeron,Celeron Series,8,512GB,Intel UHD Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire 3 A325-45,laptop,laptop,Acer,40800,Intel Celeron,Celeron Series,12,512GB SSD,Intel UHD Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire 3 A325-53,laptop,laptop,Acer,58000,Core i3,13th (Intel),8,512GB SSD,Intel UHD Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire 3 A325-53,laptop,laptop,Acer,69900,Core i5,13th (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire 3 A325-53,laptop,laptop,Acer,70000,Core i5,13th (Intel),16,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire 3 A325-53,laptop,laptop,Acer,55900,Core i3,13th (Intel),8,512GB SSD,Intel UHD Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire 3 A325-53,laptop,laptop,Acer,68000,Core i5,13th (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire Go 14 AG14-71M,laptop,laptop,Acer,104000,Core Ultra 5,Ultra,16,1TB SSD,Intel Arc Graphics,Shared,14.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire Lite AL15-31,laptop,laptop,Acer,42900,Core N100,12th Standard (Intel),8,512GB SSD,Intel UHD Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire Lite AL15-52H,laptop,laptop,Acer,77000,Core i5,13th (Intel),16,512GB SSD,Intel UHD Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire Lite AL15-53,laptop,laptop,Acer,73000,Core i5,13th Standard (Intel),16,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Aspire Lite AL15-53,laptop,laptop,Acer,69000,Core i5,13th Standard (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Predator Helios Neo 16S AI PHN16S-71,laptop,gaming_laptop,Acer,325000,Core Ultra 7,Ultra,16,1TB SSD,Nvidia RTX 5070 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Predator Helios Neo 16S AI PHN16S-71,laptop,gaming_laptop,Acer,360000,Core Ultra 9,Ultra,32,1TB SSD,Nvidia RTX 5070 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Predator Helios Neo 16S AI PHN16S-71,laptop,gaming_laptop,Acer,285000,Core Ultra 7,Ultra,16,1TB SSD,Nvidia RTX 5050 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
Acer Predator Helios Neo 16S AI PHN16S-71,laptop,gaming_laptop,Acer,340000,Core Ultra 9,Ultra,16,1TB SSD,Nvidia RTX 5070 Graphics,8GB,16.0,0,0,https://www.ryans.com/category/all-laptop,Ryans,0
